Unnamed: 0,candidate_id,womens_rights_count,womens_rights_average_favorites,womens_rights_sum_favorites,womens_rights_average_retweets,womens_rights_sum_retweets,familycare_count,familycare_average_favorites,familycare_sum_favorites,familycare_average_retweets,familycare_sum_retweets,education_count,education_average_favorites,education_sum_favorites,education_average_retweets,education_sum_retweets,healthcare_count,healthcare_average_favorites,healthcare_sum_favorites,healthcare_average_retweets,healthcare_sum_retweets,military_count,military_average_favorites,military_sum_favorites,military_average_retweets,military_sum_retweets,economics_count,economics_average_favorites,economics_sum_favorites,economics_average_retweets,economics_sum_retweets,foreign_affairs_count,foreign_affairs_average_favorites,foreign_affairs_sum_favorites,foreign_affairs_average_retweets,foreign_affairs_sum_retweets,policing_count,policing_average_favorites,policing_sum_favorites,policing_average_retweets,policing_sum_retweets,covid_count,covid_average_favorites,covid_sum_favorites,covid_average_retweets,covid_sum_retweets,total_candidate_favorites,total_candidate_retweets,mean_candidate_favorites,mean_candidate_retweets,total_tweets,party,gender,masculine_count,feminine_count,masculine_total_engagement,feminine_total_engagement,masculine_average_engagement,feminine_average_engagement
507,1385,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,17.0,17,5.0,5,9,19.66666667,177,9.0,81,0,0.0,0,0.0,0,2,16.5,33,7.5,15,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2460,1192,31.53846154,15.28205128,78,Democratic Party,Female,2,10,48,280,24.0,28.0
508,1386,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,1.0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,1.0,1,0.0,0,0,0.0,0,0.0,0,15,6,0.7142857140000001,0.28571428600000004,21,Republican Party,Male,1,1,1,1,1.0,1.0
509,1387,0,0.0,0,0.0,0,2,25.5,51,2.0,4,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,216,44,16.61538462,3.384615385,13,Democratic Party,Male,0,2,0,55,,27.5
510,1388,0,0.0,0,0.0,0,2,25.5,51,2.0,4,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,216,44,16.61538462,3.384615385,13,Democratic Party,Male,0,2,0,55,,27.5
511,1392,1,19.0,19,5.0,5,6,17.0,102,5.666666667,34,1,3.0,3,0.0,0,1,5.0,5,1.0,1,1,15.0,15,6.0,6,2,6.0,12,3.5,7,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2579,820,14.65340909,4.659090909,176,Republican Party,Female,3,9,40,169,13.33333333,18.77777778
512,1398,0,0.0,0,0.0,0,1,12.0,12,4.0,4,2,14.0,28,4.5,9,0,0.0,0,0.0,0,1,54.0,54,15.0,15,4,33.75,135,10.0,40,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1525,466,29.90196078,9.137254902,51,Republican Party,Male,5,3,244,53,48.8,17.66666667
513,1399,0,0.0,0,0.0,0,1,12.0,12,4.0,4,2,14.0,28,4.5,9,0,0.0,0,0.0,0,1,54.0,54,15.0,15,4,33.75,135,10.0,40,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1525,466,29.90196078,9.137254902,51,Republican Party,Male,5,3,244,53,48.8,17.66666667
514,1400,0,0.0,0,0.0,0,1,9.0,9,2.0,2,0,0.0,0,0.0,0,0,0.0,0,0.0,0,3,140.0,420,55.66666667,167,1,9.0,9,2.0,2,1,321.0,321,143.0,143,2,92.5,185,18.0,36,0,0.0,0,0.0,0,8057,1678,74.60185185,15.53703704,108,Democratic Party,Male,7,1,1283,11,183.28571430000002,11.0
515,1406,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2,6.0,12,1.5,3,3,13.0,39,4.333333333,13,3,14.33333333,43,4.333333333,13,3,5.333333333,16,2.0,6,0,0.0,0,0.0,0,1,20.0,20,2.0,2,0,0.0,0,0.0,0,4310,2029,42.67326733,20.08910891,101,Democratic Party,Male,7,5,100,67,14.28571429,13.4
516,1407,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2,6.0,12,1.5,3,3,13.0,39,4.333333333,13,3,14.33333333,43,4.333333333,13,3,5.333333333,16,2.0,6,0,0.0,0,0.0,0,1,20.0,20,2.0,2,0,0.0,0,0.0,0,4310,2029,42.67326733,20.08910891,101,Democratic Party,Male,7,5,100,67,14.28571429,13.4
